year,code,title,full_title
2012 2013 2014 2015 2016 2017,0,Total,All ranks
2012 2013 2014 2015 2016 2017,1,Full professors,Professors
2012 2013 2014 2015 2016 2017,2,Associate professors,Associate professors
2012 2013 2014 2015 2016 2017,3,Assistant professors,Assistant professors
2012 2013 2014 2015 2016 2017,4,Other faculty,Instructors
2012 2013 2014 2015 2016 2017,5,Other faculty,Lecturers
2012 2013 2014 2015 2016 2017,6,Other faculty,No academic rank
2006 2007 2008 2009 2010 2011,1,Full professors, Professors
2006 2007 2008 2009 2010 2011,2,Associate professors, Associate professors
2006 2007 2008 2009 2010 2011,3,Assistant professors, Assistant professors
2006 2007 2008 2009 2010 2011,4,Other faculty, Instructors
2006 2007 2008 2009 2010 2011,5,Other faculty, Lecturers
2006 2007 2008 2009 2010 2011,6,Other faculty, No academic rank
2006 2007 2008 2009 2010 2011,7,Total, total
2006 2007 2008 2009 2010 2011,8,Full professors,Professors
2006 2007 2008 2009 2010 2011,9,Associate professors,Associate professors
2006 2007 2008 2009 2010 2011,10,Assistant professors,Assistant professors
2006 2007 2008 2009 2010 2011,11,Other faculty,Instructors
2006 2007 2008 2009 2010 2011,12,Other faculty,Lecturers
2006 2007 2008 2009 2010 2011,13,Other faculty,No academic rank
2006 2007 2008 2009 2010 2011,14,Total,total
2006 2007 2008 2009 2010 2011,15,Full professors,Professors
2006 2007 2008 2009 2010 2011,16,Associate professors,Associate professors
2006 2007 2008 2009 2010 2011,17,Assistant professors,Total full-time Instruction/research/public servicey Assistant professors
2006 2007 2008 2009 2010 2011,18,Other faculty,Instructors
2006 2007 2008 2009 2010 2011,19,Other faculty,Lecturers
2006 2007 2008 2009 2010 2011,20,Other faculty,No academic rank
2006 2007 2008 2009 2010 2011,21,Total,total
2006 2007 2008 2009 2010 2011,22,Total,Total full-time Instruction/research/public service
2006 2007 2008 2009 2010 2011,23,Other faculty,Without faculty status
