unitid,al01c01,al01c02,al01c03,al01c04,al02c01,al02c02,al02c03,al02c04,al03c03,al03c04,al04c01,al04c02,al04c03,al04c04,al05c01,al05c02,al05c03,al05c04,al06c01,al06c02,al06c03,al06c04,al07c01,al07c02,al07c03,al07c04,al08c01,al08c02,al08c03,al08c04,rptc01,rptc02,rptc03,rptc04,bl01,bl02,bl03,bl04,bl05,"xl01c01","xl01c02","xl01c03","xl01c04","xl02c01","xl02c02","xl02c03","xl02c04","xl03c03","xl03c04","xl04c01","xl04c02","xl04c03","xl04c04","xl05c01","xl05c02","xl05c03","xl05c04","xl06c01","xl06c02","xl06c03","xl06c04","xl07c01","xl07c02","xl07c03","xl07c04","xl08c01","xl08c02","xl08c03","xl08c04","xgenc01","xgenc02","xgenc03","xgenc04"
100636,65,4,,,,,,,,,0,0,,,0,0,,,6,29,,,0,0,,,0,0,,,71,33,,,1,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
100654,32,18,,,164,81,42,15,175,101,46,78,24,10,15,14,4,4,7,141,1,2,11,,,,65,17,1,,340,349,247,132,,,1,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
100663,168,75,1,1,1060,437,51,26,145,47,593,1772,25,257,477,1227,68,167,121,1579,43,338,283,12,1,,357,612,156,391,3059,5714,490,1227,1,,,1,,"0","0","3","3","0","0","3","3","3","3","0","0","3","3","0","0","3","3","0","0","3","3","0","0","3","3","0","0","3","3","0","0","3","3"
100672,3,2,,,24,1,22,7,,,3,3,,,,,,,,12,,1,2,,,,4,1,1,,36,19,23,8,,,,1,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
100681,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,,,,,,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
100690,4,2,,,13,0,,,,,1,1,1,1,,,,,,2,,1,,,,,,,,1,18,5,1,3,1,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
100706,55,11,4,,189,56,12,7,122,47,138,138,43,16,37,95,22,21,13,180,6,39,41,,,,45,31,2,3,518,511,211,133,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
100724,21,5,,,89,92,52,40,,,41,41,6,2,28,21,3,,3,86,,2,11,1,,,68,53,,,261,299,61,44,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
100733,11,1,,,0,0,,,,,9,14,,,,,,,,11,,,,,,,,3,,,20,29,,,,,,,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
100751,102,17,1,,646,241,64,75,609,451,352,325,15,38,152,130,19,19,48,736,26,80,154,2,,,151,186,14,33,1605,1637,748,696,1,1,1,1,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
